C1-S1-D1,C1-S1-D2,C1-S2-D1,C1-S2-D2,C2-S1-D1,C2-S1-D2,C2-S2-D1,C2-S2-D2
4016,366,76,5063,105,4118,1205,141
4021,368,76,5017,108,4047,1207,145
3960,373,76,5038,105,4089,1194,141
4047,373,77,5056,106,4117,1198,139
3972,372,77,5000,105,4043,1195,139
4035,368,77,5060,104,4088,1210,138
3988,367,77,5021,108,4060,1196,137
3975,371,76,5033,108,4087,1177,144
4040,375,78,5063,107,4127,1186,140
3978,372,77,4993,104,4094,1203,142
3962,369,77,5023,106,4031,1203,140
3987,376,77,5021,105,4071,1207,141
3976,372,76,5017,105,4060,1190,142
3974,375,76,5059,107,4064,1197,142
3963,370,77,5051,107,4087,1180,141
4004,371,77,5050,105,4072,1202,142
3996,371,77,5040,106,4084,1176,143
4030,371,77,4993,105,4071,1184,137
3952,367,77,5003,105,4114,1213,139
4031,372,77,5064,104,4103,1210,142
4026,371,76,5035,105,4060,1195,140
3979,373,77,5028,107,4073,1204,139
3995,371,77,4997,107,4064,1202,138
4002,369,76,5045,106,4069,1195,144
4013,372,77,5050,107,4035,1196,140
3990,371,76,5048,105,4105,1183,137
4002,375,77,5038,107,4099,1187,141
3981,377,76,5038,104,4080,1187,140
3967,373,77,5023,107,4040,1183,136
4024,372,76,5044,106,4069,1200,139
4022,368,76,5021,106,4119,1180,143
3977,370,76,5036,107,4070,1182,138
3975,368,76,5017,108,4065,1189,142
3986,368,77,5033,106,4037,1194,139
3983,373,76,5024,108,4109,1200,141
4045,369,78,5053,105,4046,1189,140
4063,373,77,5049,106,4072,1177,141
3945,371,77,5036,107,4125,1180,141
3976,372,77,5046,107,4062,1179,144
3987,369,77,5012,106,4033,1189,142
4040,371,76,5032,106,4081,1253,140
3978,371,77,4992,106,4098,1208,137
4022,373,76,5053,106,4051,1200,140
4008,374,77,5022,106,4108,1190,140
4031,368,77,5049,104,4054,1217,142
4029,374,77,4990,107,4055,1209,140
4047,373,76,5071,104,4067,1200,140
3963,367,76,5016,107,4040,1188,141
4004,374,77,5036,105,4079,1193,141
3982,373,77,5055,106,4050,1180,142
4042,370,76,5042,106,4111,1186,139
4069,372,77,5044,106,4047,1204,139
3988,374,78,5026,105,4072,1189,140
4027,370,76,5041,106,4089,1220,140
3988,373,76,5009,105,4099,1206,139
3983,373,77,5035,104,4020,1189,140
3988,372,77,5023,108,4026,1191,145
4004,372,77,5069,104,4114,1204,141
3963,373,77,5027,105,4099,1203,143
4003,370,76,5069,106,4113,1188,143
4003,372,76,5043,105,4094,1234,143
4011,371,76,5033,107,4033,1177,141
3984,371,77,5033,105,4100,1173,142
4041,372,76,5019,107,4120,1202,136
3993,369,77,5021,105,4053,1201,142
4058,372,77,5072,106,4074,1177,141
3999,372,78,5055,105,4061,1208,138
4054,372,76,5003,107,4116,1183,138
4022,375,77,5035,108,4079,1203,141
4030,373,76,5038,105,4017,1203,138
4023,368,77,5049,105,4041,1183,142
3982,375,77,4991,107,4123,1199,142
4053,369,76,5020,106,4020,1184,143
3970,371,77,5026,106,4084,1193,142
3990,370,77,5013,105,4056,1208,139
3993,368,77,5070,107,4040,1200,142
3995,372,77,5031,104,4094,1212,137
3954,368,76,5044,105,4042,1221,142
4043,373,76,5037,107,4016,1186,141
3981,373,76,5044,105,4010,1186,144
3992,370,77,5040,105,4087,1192,141
3995,370,76,5055,105,4095,1226,139
3957,369,77,5010,106,4035,1210,143
4057,372,76,5019,107,4016,1199,140
3965,370,76,5036,105,4075,1182,142
4009,369,76,5009,104,4092,1218,141
4023,369,77,5027,105,4086,1201,143
4028,368,76,5004,105,4076,1195,140
4028,369,76,5039,104,4089,1203,138
3997,373,77,5032,107,4071,1232,143
3999,371,76,5037,108,4102,1206,141
4007,374,76,5040,108,4013,1208,141
4039,369,76,5070,106,4082,1192,144
4027,373,77,5036,106,4041,1226,145
4037,368,76,5048,106,4022,1192,139
4003,371,76,5063,105,4055,1207,142
4020,372,77,5033,106,4043,1209,142
4052,373,77,5032,104,4080,1203,143
4076,370,76,5006,105,4082,1196,139
3991,371,76,5050,105,4069,1203,140
3965,374,76,5052,106,4061,1197,142
4024,372,76,5032,106,4078,1185,139
4029,373,76,5045,104,4120,1198,142
4051,372,76,4990,107,4085,1184,144
4036,372,76,4994,104,4021,1217,144
4008,373,76,4987,104,4040,1214,140
3988,374,76,5044,104,4010,1191,141
4039,368,77,5042,107,4101,1218,142
4037,370,77,5044,105,4097,1217,140
4013,372,77,5072,104,4087,1199,142
4066,370,77,5023,106,4051,1177,138
4062,371,77,5055,106,4087,1181,140
4005,372,76,5048,106,4070,1190,142
4048,370,76,4997,106,4088,1200,140
4005,373,76,5060,109,4088,1213,140
4067,371,76,5007,105,4124,1199,140
3961,372,77,5028,105,4122,1198,140
4072,376,77,5046,107,4045,1176,140
4000,373,76,5050,103,4101,1202,140
4008,374,76,4997,104,4070,1204,143
3970,370,77,5011,107,4063,1206,138
3960,373,77,5027,106,4120,1192,143
3988,370,76,5018,107,4018,1204,142
3975,374,76,5049,105,4011,1196,140
3990,375,77,5026,106,4111,1190,139
3999,369,76,5035,104,4054,1187,143
4043,369,77,5017,106,4107,1182,139
3993,370,76,5055,103,4052,1217,144
4021,372,77,5064,103,4064,1213,142
4032,369,77,5059,108,4050,1191,141
4078,373,76,5050,107,4101,1197,138
3996,375,76,5030,107,4103,1209,138
4014,374,77,5010,103,4033,1220,140
4052,377,77,4997,105,4079,1213,143
4005,370,77,5063,106,4124,1211,140
4021,369,77,5051,106,4011,1197,140
4010,369,77,5068,103,4096,1189,141
4007,370,76,5037,101,4038,1193,140
3963,367,77,5048,104,4022,1210,141
4063,369,76,5023,103,4079,1194,142
4056,374,77,5032,107,4125,1215,144
4002,374,76,5015,105,4071,1216,139
4027,375,77,5049,105,4071,1214,141
3969,374,76,5036,108,4049,1202,141
3947,375,77,5028,107,4116,1204,140
4050,371,76,5017,107,4017,1216,142
4048,373,78,4994,104,4046,1179,139
4023,368,77,5035,105,4087,1226,141
4013,376,77,5062,106,4095,1175,137
4014,367,78,4993,106,4053,1222,140
4012,372,77,4989,109,4063,1192,143
3997,369,77,5037,106,4061,1237,140
3984,370,77,4986,104,4067,1192,140
4010,372,77,4989,105,4099,1218,141
4051,372,77,5005,107,4061,1208,137
4009,371,77,4996,104,4056,1199,141
3988,372,76,5062,104,4082,1197,144
3966,369,76,5063,103,4102,1212,143
4051,369,76,4992,105,4045,1210,138
3982,372,76,5041,104,4079,1188,141
3986,368,76,5023,106,4061,1220,143
